feedback_id,student_id,feedback_score,feedback_category,submitted_date
FBK10001,211000,7,Good,24/01/2021
FBK10002,211001,2,Poor,08/04/2021
FBK10003,211002,5,Average,04/12/2021
FBK10004,211003,5,Average,19/02/2021
FBK10005,211004,8,Good,01/01/2021
FBK10006,211005,8,Good,08/04/2021
FBK10007,211006,9,Excellent,01/10/2021
FBK10008,211007,3,Poor,23/04/2021
FBK10009,211008,6,Average,08/07/2021
FBK10010,211009,2,Poor,09/10/2021
FBK10011,211010,5,Average,23/03/2021
FBK10012,211011,7,Good,09/06/2021
FBK10013,211012,2,Poor,25/04/2021
FBK10014,211013,5,Average,03/02/2021
FBK10015,211014,7,Good,12/02/2021
FBK10016,211015,7,Good,09/10/2021
FBK10017,211016,5,Average,15/12/2021
FBK10018,211017,7,Good,13/02/2021
FBK10019,211018,8,Good,10/09/2021
FBK10020,211019,1,Poor,19/06/2021
FBK10021,211020,8,Good,03/12/2021
FBK10022,211021,8,Good,08/11/2021
FBK10023,211022,6,Average,28/02/2021
FBK10024,211023,4,Poor,13/02/2021
FBK10025,211024,10,Excellent,21/08/2021
FBK10026,211025,6,Average,12/03/2021
FBK10027,211026,3,Poor,22/04/2021
FBK10028,211027,3,Poor,22/12/2021
FBK10029,211028,9,Excellent,21/10/2021
FBK10030,211029,7,Good,24/09/2021
FBK10031,211030,8,Good,15/03/2021
FBK10032,211031,8,Good,21/05/2021
FBK10033,211032,7,Good,22/04/2021
FBK10034,211033,10,Excellent,08/01/2021
FBK10035,211034,6,Average,13/06/2021
FBK10036,211035,7,Good,07/02/2021
FBK10037,211036,8,Good,11/12/2021
FBK10038,211037,7,Good,16/11/2021
FBK10039,211038,9,Excellent,15/11/2021
FBK10040,211039,7,Good,05/05/2021
FBK10041,211040,8,Good,18/12/2021
FBK10042,211041,2,Poor,24/05/2021
FBK10043,211042,5,Average,19/07/2021
FBK10044,211043,5,Average,08/06/2021
FBK10045,211044,3,Poor,16/09/2021
FBK10046,211045,5,Average,28/01/2021
FBK10047,211046,4,Poor,21/03/2021
FBK10048,211047,5,Average,14/11/2021
FBK10049,211048,7,Good,13/02/2021
FBK10050,211049,6,Average,15/10/2021
FBK10051,211050,6,Average,18/05/2021
FBK10052,211051,5,Average,24/11/2021
FBK10053,211052,5,Average,18/11/2021
FBK10054,211053,10,Excellent,11/11/2021
FBK10055,211054,7,Good,14/05/2021
FBK10056,211055,7,Good,01/08/2021
FBK10057,211056,4,Poor,25/09/2021
FBK10058,211057,8,Good,04/09/2021
FBK10059,211058,4,Poor,17/11/2021
FBK10060,211059,6,Average,05/04/2021
FBK10061,211060,10,Excellent,18/03/2021
FBK10062,211061,7,Good,20/01/2021
FBK10063,211062,7,Good,01/08/2021
FBK10064,211063,8,Good,27/06/2021
FBK10065,211064,9,Excellent,02/04/2021
FBK10066,211065,8,Good,03/10/2021
FBK10067,211066,5,Average,16/12/2021
FBK10068,211067,2,Poor,25/09/2021
FBK10069,211068,6,Average,22/03/2021
FBK10070,211069,5,Average,06/09/2021
FBK10071,211070,5,Average,28/09/2021
FBK10072,211071,10,Excellent,07/07/2021
FBK10073,211072,9,Excellent,23/12/2021
FBK10074,211073,6,Average,10/12/2021
FBK10075,211074,8,Good,21/11/2021
FBK10076,211075,6,Average,17/08/2021
FBK10077,211076,9,Excellent,08/02/2021
FBK10078,211077,7,Good,11/02/2021
FBK10079,211078,5,Average,18/10/2021
FBK10080,211079,5,Average,08/10/2021
FBK10081,211080,7,Good,23/02/2021
FBK10082,211081,5,Average,03/04/2021
FBK10083,211082,7,Good,03/06/2021
FBK10084,211083,9,Excellent,09/04/2021
FBK10085,211084,6,Average,18/04/2021
FBK10086,211085,5,Average,19/12/2021
FBK10087,211086,10,Excellent,08/08/2021
FBK10088,211087,7,Good,07/07/2021
FBK10089,211088,3,Poor,22/02/2021
FBK10090,211089,2,Poor,14/06/2021
FBK10091,211090,4,Poor,28/08/2021
FBK10092,211091,7,Good,21/11/2021
FBK10093,211092,8,Good,13/01/2021
FBK10094,211093,6,Average,08/02/2021
FBK10095,211094,3,Poor,18/04/2021
FBK10096,211095,6,Average,14/03/2021
FBK10097,211096,10,Excellent,15/05/2021
FBK10098,211097,7,Good,15/02/2021
FBK10099,211098,10,Excellent,02/02/2021
FBK10100,211099,9,Excellent,03/01/2021
FBK10101,211100,1,Poor,14/03/2021
FBK10102,211101,8,Good,07/08/2021
FBK10103,211102,8,Good,06/01/2021
FBK10104,211103,7,Good,13/01/2021
FBK10105,211104,5,Average,10/08/2021
FBK10106,211105,7,Good,24/12/2021
