enrollment_id,student_id,course_id,lecturer_id,enrollment_date,semester,enrollment_status
ENR10001,211000,COM1004,LEC1012,21/05/2021,Semester 1,Completed
ENR10002,211001,MED1008,LEC1027,22/02/2021,Semester 1,Completed
ENR10003,211002,COM1005,LEC1001,17/02/2021,Semester 1,Completed
ENR10005,211003,SOC1002,LEC1146,26/12/2021,Semester 2,Dropped
ENR10006,211004,SCI1008,LEC1085,23/05/2021,Semester 1,Completed
ENR10007,211005,ARC1010,LEC1127,24/06/2021,Semester 1,Completed
ENR10008,211006,BUS1008,LEC1043,22/06/2021,Semester 1,Completed
ENR10009,211007,ART1009,LEC1062,03/07/2021,Semester 2,Completed
ENR10010,211008,COM1006,LEC1012,24/08/2021,Semester 2,Completed
ENR10012,211009,AGR1004,LEC1109,27/12/2021,Semester 2,Completed
ENR10014,211010,BUS1010,LEC1044,21/02/2021,Semester 1,Dropped
ENR10015,211011,SCI1009,LEC1086,06/07/2021,Semester 2,Completed
ENR10017,211012,AGR1008,LEC1116,29/03/2021,Semester 1,Completed
ENR10018,211013,SCI1010,LEC1082,19/05/2021,Semester 1,Completed
ENR10019,211014,SOC1009,LEC1148,29/01/2021,Semester 1,Completed
ENR10021,211015,COM1009,LEC1004,18/10/2021,Semester 2,Completed
ENR10023,211016,MED1009,LEC1020,13/03/2021,Semester 1,Completed
ENR10025,211017,AGR1005,LEC1112,05/07/2021,Semester 2,Completed
ENR10027,211018,MED1005,LEC1018,18/11/2021,Semester 2,Completed
ENR10028,211019,AGR1007,LEC1107,17/07/2021,Semester 2,Dropped
ENR10030,211020,ARC1008,LEC1132,28/02/2021,Semester 1,Completed
ENR10031,211021,MED1005,LEC1020,11/08/2021,Semester 2,Completed
ENR10033,211022,ARC1001,LEC1125,24/11/2021,Semester 2,Completed
ENR10034,211023,ART1008,LEC1073,24/03/2021,Semester 1,Completed
ENR10035,211024,ENG1003,LEC1091,27/02/2021,Semester 1,Completed
ENR10037,211025,MED1001,LEC1027,06/09/2021,Semester 2,Completed
ENR10038,211026,MED1007,LEC1026,01/09/2021,Semester 2,Completed
ENR10039,211027,ENG1008,LEC1104,07/11/2021,Semester 2,Dropped
ENR10041,211028,SCI1002,LEC1086,29/11/2021,Semester 2,Completed
ENR10043,211029,LAW1002,LEC1049,02/02/2021,Semester 1,Completed
ENR10044,211030,AGR1006,LEC1114,28/04/2021,Semester 1,Completed
ENR10045,211031,COM1010,LEC1012,20/11/2021,Semester 2,Completed
ENR10046,211032,COM1009,LEC1015,17/01/2021,Semester 1,Completed
ENR10047,211033,ENG1006,LEC1094,23/05/2021,Semester 1,Dropped
ENR10048,211034,ENG1010,LEC1093,20/10/2021,Semester 2,Dropped
ENR10049,211035,ENG1001,LEC1103,28/07/2021,Semester 2,Completed
ENR10050,211036,MED1003,LEC1026,09/08/2021,Semester 2,Completed
ENR10051,211037,SCI1003,LEC1083,28/01/2021,Semester 1,Completed
ENR10053,211038,BUS1005,LEC1034,02/10/2021,Semester 2,Dropped
ENR10054,211039,SCI1005,LEC1078,23/05/2021,Semester 1,Dropped
ENR10055,211040,COM1010,LEC1008,09/10/2021,Semester 2,Completed
ENR10056,211041,ARC1004,LEC1129,08/01/2021,Semester 1,Completed
ENR10057,211042,BUS1002,LEC1037,06/09/2021,Semester 2,Dropped
ENR10058,211043,SCI1002,LEC1090,31/01/2021,Semester 1,Completed
ENR10059,211044,COM1001,LEC1007,16/05/2021,Semester 1,Dropped
ENR10061,211045,BUS1005,LEC1035,22/04/2021,Semester 1,Completed
ENR10062,211046,SOC1006,LEC1141,30/01/2021,Semester 1,Completed
ENR10063,211047,ENG1005,LEC1105,29/09/2021,Semester 2,Completed
ENR10065,211048,AGR1007,LEC1107,12/12/2021,Semester 2,Completed
ENR10066,211049,MED1006,LEC1030,19/10/2021,Semester 2,Completed
ENR10068,211050,ARC1005,LEC1130,17/10/2021,Semester 2,Completed
ENR10070,211051,LAW1004,LEC1052,09/03/2021,Semester 1,Completed
ENR10071,211052,ART1001,LEC1075,07/02/2021,Semester 1,Completed
ENR10073,211053,ENG1009,LEC1094,17/09/2021,Semester 2,Completed
ENR10074,211054,ART1005,LEC1075,05/02/2021,Semester 1,Completed
ENR10075,211055,LAW1007,LEC1048,13/08/2021,Semester 2,Completed
ENR10077,211056,ARC1005,LEC1122,10/03/2021,Semester 1,Completed
ENR10079,211057,LAW1007,LEC1055,18/04/2021,Semester 1,Completed
ENR10081,211058,LAW1003,LEC1060,27/01/2021,Semester 1,Completed
ENR10083,211059,ART1003,LEC1073,08/03/2021,Semester 1,Completed
ENR10084,211060,SOC1005,LEC1143,10/10/2021,Semester 2,Dropped
ENR10085,211061,MED1005,LEC1017,20/12/2021,Semester 2,Completed
ENR10086,211062,ART1008,LEC1070,10/10/2021,Semester 2,Completed
ENR10087,211063,MED1007,LEC1016,07/06/2021,Semester 1,Completed
ENR10089,211064,ARC1006,LEC1122,01/07/2021,Semester 2,Dropped
ENR10090,211065,LAW1001,LEC1059,25/03/2021,Semester 1,Completed
