grade_id,enrollment_id,student_id,course_id,grade_source,score,grade,grade_date
GRD10001,ENR10001,211000,COM1004,Quiz,70,B-,01/07/2021
GRD10002,ENR10001,211000,COM1004,Assignment,66,C+,12/07/2021
GRD10003,ENR10001,211000,COM1004,Midterm,78,B,05/08/2021
GRD10004,ENR10001,211000,COM1004,Final Exam,65,C+,18/09/2021
GRD10005,ENR10002,211001,MED1008,Quiz,48,D,01/04/2021
GRD10006,ENR10002,211001,MED1008,Assignment,88,A-,16/04/2021
GRD10007,ENR10002,211001,MED1008,Midterm,78,B,14/05/2021
GRD10008,ENR10002,211001,MED1008,Final Exam,59,C-,26/06/2021
GRD10009,ENR10003,211002,COM1005,Quiz,80,B+,31/03/2021
GRD10010,ENR10003,211002,COM1005,Assignment,86,A-,13/04/2021
GRD10011,ENR10003,211002,COM1005,Midterm,61,C,15/05/2021
GRD10012,ENR10003,211002,COM1005,Final Exam,60,C,23/06/2021
GRD10013,ENR10005,211003,SOC1002,Quiz,50,D,03/02/2022
GRD10014,ENR10005,211003,SOC1002,Assignment,65,C+,25/02/2022
GRD10015,ENR10005,211003,SOC1002,Midterm,65,C+,25/03/2022
GRD10016,ENR10005,211003,SOC1002,Final Exam,64,C,29/04/2022
GRD10017,ENR10006,211004,SCI1008,Quiz,89,A-,06/07/2021
GRD10018,ENR10006,211004,SCI1008,Assignment,99,A+,15/07/2021
GRD10019,ENR10006,211004,SCI1008,Midterm,70,B-,16/08/2021
GRD10020,ENR10006,211004,SCI1008,Final Exam,57,C-,21/09/2021
GRD10021,ENR10007,211005,ARC1010,Quiz,81,B+,30/07/2021
GRD10022,ENR10007,211005,ARC1010,Assignment,67,C+,15/08/2021
GRD10023,ENR10007,211005,ARC1010,Midterm,61,C,17/09/2021
GRD10024,ENR10007,211005,ARC1010,Final Exam,55,C-,31/10/2021
GRD10025,ENR10008,211006,BUS1008,Quiz,78,B,02/08/2021
GRD10026,ENR10008,211006,BUS1008,Assignment,68,C+,17/08/2021
GRD10027,ENR10008,211006,BUS1008,Midterm,64,C,08/09/2021
GRD10028,ENR10008,211006,BUS1008,Final Exam,70,B-,23/10/2021
GRD10029,ENR10009,211007,ART1009,Quiz,85,A-,08/08/2021
GRD10030,ENR10009,211007,ART1009,Assignment,66,C+,05/09/2021
GRD10031,ENR10009,211007,ART1009,Midterm,95,A+,19/09/2021
GRD10032,ENR10009,211007,ART1009,Final Exam,76,B,14/11/2021
GRD10033,ENR10010,211008,COM1006,Quiz,97,A+,25/09/2021
GRD10034,ENR10010,211008,COM1006,Assignment,66,C+,24/10/2021
GRD10035,ENR10010,211008,COM1006,Midterm,67,C+,18/11/2021
GRD10036,ENR10010,211008,COM1006,Final Exam,69,C+,28/12/2021
GRD10037,ENR10012,211009,AGR1004,Quiz,66,C+,03/02/2022
GRD10038,ENR10012,211009,AGR1004,Assignment,70,B-,28/02/2022
GRD10039,ENR10012,211009,AGR1004,Midterm,47,D,24/03/2022
GRD10040,ENR10012,211009,AGR1004,Final Exam,79,B,27/04/2022
GRD10041,ENR10014,211010,BUS1010,Quiz,69,C+,30/03/2021
GRD10042,ENR10014,211010,BUS1010,Assignment,78,B,25/04/2021
GRD10043,ENR10014,211010,BUS1010,Midterm,100,A+,18/05/2021
GRD10044,ENR10014,211010,BUS1010,Final Exam,53,D,03/07/2021
GRD10045,ENR10015,211011,SCI1009,Quiz,62,C,06/08/2021
GRD10046,ENR10015,211011,SCI1009,Assignment,66,C+,01/09/2021
GRD10047,ENR10015,211011,SCI1009,Midterm,39,F,27/09/2021
GRD10048,ENR10015,211011,SCI1009,Final Exam,78,B,17/11/2021
GRD10049,ENR10017,211012,AGR1008,Quiz,57,C-,11/05/2021
GRD10050,ENR10017,211012,AGR1008,Assignment,89,A-,21/05/2021
GRD10051,ENR10017,211012,AGR1008,Midterm,56,C-,20/06/2021
GRD10052,ENR10017,211012,AGR1008,Final Exam,98,A+,10/08/2021
GRD10053,ENR10018,211013,SCI1010,Quiz,40,D,25/06/2021
GRD10054,ENR10018,211013,SCI1010,Assignment,40,D,22/07/2021
